"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Cote d'Ivoire","CIV","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","53.1111106872559","49.8875007629395","","48.270580291748","50.4950294494629","51.1671981811523","57.2591781616211","58.2780990600586","58.6276893615723","","51.5911293029785","48.5631217956543","54.4642601013184","51.161449432373","48.1241188049316","49.4445114135742","","","","","","69.0233535766602","","71.0258331298828","68.5288696289063","63.6006088256836","","69.0723266601563","70.55824","","","","","","71.84271","","70.04196","","","77.28643","","90.3775","94.4113","94.12181","91.49627","","","",
"Cameroon","CMR","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","27.8331203460693","32.2346496582031","34.5625801086426","35.6570816040039","37.1953506469727","32.4634819030762","38.954418182373","37.8977012634277","39.1706809997559","38.8097610473633","44.8802185058594","43.2237586975098","44.2579307556152","43.2934303283691","47.0514984130859","47.3413009643555","","","47.9084815979004","","","","","","","","","31.3790397644043","","","","","","","44.69766","58.92838","49.85376","","57.80759","61.6795","","","65.07221","63.95585","","","","",
"Congo, Dem. Rep.","COD","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","50.1332397460938","","","","","","","","","","","","","","","","","","","","29.8710098266602","33.5170288085938","28.7161998748779","","","","","","","","","","","","","","91.6629","","","","75.43658","73.20408","","","","","","","",
"Congo, Rep.","COG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","67.988151550293","82.7483062744141","81.2529830932617","85.7713775634766","97.6052169799805","100","98.894401550293","","98.7936706542969","","95.9909896850586","99.4630889892578","","","88.142448425293","","83.6415710449219","","","","74.047492980957","82.0852127075195","","60.8749504089355","","","","","","88.74416","85.06199","87.62545","72.20596","","","70.9341","73.52389","77.04937","","78.10262","","","","","","","","",
"Colombia","COL","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","55.0228004455566","56.4212684631348","65.2293319702148","58.3202896118164","62.8744201660156","63.5063705444336","","","","","","","","","","96.756721496582","","92.52001","","","","100","99.08193","99.59176","100","100","99.21063","100","100","98.45451","","","","","","","",
"Comoros","COM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.47196","99.3617","","","","","","","","","","100","","","","","","",
"Cabo Verde","CPV","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","100","53.2374114990234","48.8118782043457","53.5503005981445","54.832878112793","43.0555610656738","63.8422203063965","","56.3237800598145","","","","","","","","","","","","","","85.47683","85.42889","87.02265","90.71232","97.80142","91.05497","93.4974","91.77844","94.18288","95.68575","94.40197","94.06715","95.24385","97.09504","96.43001","98.89891","94.18946","","",
"Costa Rica","CRI","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","49.4307403564453","53.4292907714844","","","","","","","","","56.1208610534668","52.8358306884766","","","52.4619102478027","58.2081298828125","58.3815994262695","61.7749786376953","63.1596717834473","","63.4175682067871","66.3689727783203","66.3762893676758","66.6035614013672","68.2178573608398","67.5724182128906","","","","85.5685882568359","83.93938","89.1408","","","","100","","100","97.94779","94.27808","95.1343","97.72161","85.65621","86.30144","84.81729","86.07027","86.35151","93.05345","","",
"Caribbean small states","CSS","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","86.9234008789063","90.1885833740234","89.7166976928711","89.7156295776367","89.2361373901367","88.5765228271484","84.2958831787109","84.0580368041992","83.6507873535156","84.2628631591797","85.0968475341797","85.9513473510742","85.8917007446289","86.4966812133789","87.0813217163086","87.1832733154297","89.1071166992188","86.2867965698242","88.924919128418","89.5848693847656","90.457160949707","91.0818634033203","","94.2527923583984","92.4515762329102","93.8152236938477","92.45956","91.39073","89.45412","90.7315","88.15399","89.06486","90.27354","92.27973","","",
"Cuba","CUB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","67.6607131958008","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.2115097045898","96.63108","97.13923","97.85979","98.24722","98.47306","98.27556","98.51361","98.11935","98.68702","98.50431","98.46382","98.71773","98.71649","98.94388","98.12906","98.42498","98.07175","97.99916","","",
"Curacao","CUW","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","94.2623","88.96797","","","97.48327","100","85.11628","100","","","","92.08211","93.04202","","","","","","","",
