"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bosnia and Herzegovina","BIH","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","90.1076278686523","91.8553237915039","94.0224990844727","96.5411376953125","97.2760314941406","97.6598434448242","97.7033920288086","97.3746185302734","97.3875274658203","98.2501983642578","99.1887893676758","99.8064804077148","100.44970703125","100.771781921387","100.749649047852","100.400367736816","100.301063537598","99.5668869018555","98.8079681396484","97.3425979614258","93.8509292602539","93.1222076416016","92.1972885131836","93.054573059082","94.4001998901367","95.7613372802734","95.4962387084961","86.6641387939453","","","","","","","","","","111.92559","110.7479","108.2254","107.3914","107.2134","105.4283","105.5231","105.469","104.7959","103.5135","102.4395","",
"Belize","BLZ","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","54.2193717956543","53.0193481445313","52.4579582214355","","","","57.8292808532715","60.5806007385254","","","","60.751781463623","","","68.3851470947266","67.2071762084961","","","","64.1349105834961","67.98631","70.59147","","76.94431","78.25525","76.46658","76.66667","75.31014","74.79151","74.39433","75.30958","75.95183","78.31773","80.07403","79.76219","80.65795","87.0061","84.04008","85.37246","",
"Bermuda","BMU","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","80.0149993896484","78.7122421264648","83.3979568481445","78.47509765625","80.081787109375","81.3353576660156","91.2675628662109","90.3618621826172","92.4604568481445","97.4199523925781","","","","","","","","","","","","","","","","","","","","","77.20663","76.41446","77.40864","79.44095","78.70263","75.1622","","","","77.37303","76.69093","76.49402","77.01531","76.77734","76.95238","","","","",
"Bolivia","BOL","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","27.0755405426025","28.9698009490967","32.0182800292969","32.9200897216797","","38.3900489807129","","","","","","","","","","","","","","","","","","","","","","","71.7784881591797","77.1857299804688","72.90833","75.85267","80.58419","83.3082","86.09528","87.01776","86.16775","85.63528","85.01278","83.46188","82.6496","81.85408","82.38936","84.0897","84.63013","85.40379","85.28072","90.39978","","",
"Brazil","BRA","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.99422","101.86867","102.37103","101.29199","","95.17","96.72012","96.66548","","95.26338","92.99245","102.0686","100.838","100.0671","101.5363","100.8277","","",
"Barbados","BRB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","77.8715362548828","79.3868103027344","80.001106262207","76.2311401367188","81.3264389038086","78.8765716552734","79.1744918823242","84.8146667480469","85.5515823364258","89.2721328735352","88.2174682617188","86.3835601806641","87.1319580078125","88.2053375244141","91.6041488647461","","","","86.8860931396484","85.4265289306641","","","","","","","","","107.011268615723","103.62408","103.50712","104.33392","105.44677","107.72265","108.539","105.88444","105.39451","104.47984","103.22714","101.9078","103.6359","","","108.1238","107.5281","106.5098","106.3275","103.7039","",
"Brunei Darussalam","BRN","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","53.9395408630371","55.0727996826172","57.2652587890625","57.0430488586426","57.5943489074707","59.5493316650391","61.0934410095215","58.8267707824707","58.7855987548828","59.6581115722656","61.0722007751465","61.7599296569824","63.4685096740723","65.9173583984375","63.9403800964355","63.590030670166","60.7707481384277","","","","","73.195671081543","73.8998718261719","75.7966613769531","76.2749481201172","","","","81.0034027099609","84.2143936157227","84.64923","85.06244","86.54186","88.37415","92.80322","96.58753","97.44118","95.79461","96.01591","98.20404","99.17564","101.4305","106.2648","104.9133","99.59155","96.41472","94.05418","92.93732","93.48278","",
"Bhutan","BTN","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","2.33769011497498","2.67756009101868","3.20666003227234","","5.05326986312866","","","3.90809988975525","","","","","9.31194972991943","10.813570022583","11.572039604187","11.5859899520874","","","","","","","","","","","","","23.4405193328857","26.5030994415283","30.02343","33.4106","","","","44.5511","47.40183","51.40493","54.71617","59.5779","63.56648","67.24879","71.69738","75.61265","82.71892","84.01727","85.34537","87.8676","90.09468","",
"Botswana","BWA","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","7.6469202041626","8.76091957092285","9.75911045074463","13.2584104537964","14.6490602493286","16.3841495513916","18.0458393096924","19.1534194946289","19.5738105773926","19.386589050293","19.9693393707275","21.9203491210938","","21.9713592529297","26.0639991760254","29.2562103271484","31.0027694702148","32.1369514465332","31.5707492828369","36.7612609863281","40.4843711853027","49.3930206298828","49.3714714050293","54.1148109436035","53.244068145752","60.7090606689453","","","77.5880508422852","78.5172729492188","80.41093","80.30617","81.50727","82.1807","83.52475","83.61095","84.99632","85.10596","79.91677","","","","","","","","","","","",
